#Vbias			source resolution[keV]	error[keV]	pulser resolution[keV]		error[keV]		
15				37.144					0.38022 	30.362 						0.10124
20 				34.425					0.35289		27.940 						0.10278
25 				32.985					0.31960		25.862 						0.08676
30 				31.694                  0.34572		24.552 						0.08392		
35 				30.403					0.36936 	24.279 						0.10860
40				29.504 					0.33592		22.804 						0.07769			
45 				29.364 					0.30817		22.085 						0.07628				
50 				29.258					0.27849		21.981 						0.07504				
55 				29.078					0.30360		21.715 						0.07342				
60 				28.969					0.27582		21.445 						0.07208				
63.4 			28.330 					0.28809		21.132 						0.07133		
